Gerencia;Cliente;Sistema;Modulo;Classificacao;TipoFalha;Prioridade;Dificuldade;Colaborador
Atendimento;GEIPREV;Sistema Financeiro;Financeiro - Valores a Pagar;Suporte;Falha de Sistema;Alta;Fácil;Leonardo Veiga
Atendimento;CERES;Sistema de Benefícios;Benefício - Integração com Contabilidade;Suporte;Falha de Sistema;Alta;Difícil 1;Leonardo Veiga
Atendimento;FABASA;Sistema Contábil;Contábil - Relatórios;Suporte;Falha de Sistema;Alta;Médio;Leonardo Veiga
Atendimento;ALEPEPREV;Sistema de Benefícios;Benefício - Geração de Cobrança Mensal;Suporte;Falha de Sistema;Alta;Difícil 1;Leonardo Veiga
Atendimento;CAPOF;Sistema de Empréstimo;Empréstimo - Cadastro;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CAPOF;Sistema de Empréstimo;Empréstimo - Concessão;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Investimento;Investimentos - Relatórios Gerenciais;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Investimento;Investimentos - Integração;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CAPOF;Sistema de Empréstimo;Empréstimo - Amortização Extra;Suporte;Falha de Sistema;Alta;Médio;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Investimento;Investimentos - Integração;Suporte;Falha de Sistema;Crítica;Difícil 3;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Investimento;Investimentos - Integração;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Empréstimo;Empréstimo - Fechamento;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CIBRIUS;Sistema de Benefícios;Benefício - Concessão de Benefícios;Suporte;Falha de Sistema;Crítica;Médio;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Investimento;Investimentos - Integração;Suporte;Falha de Sistema;Crítica;Difícil 1;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Concessão;Suporte;Falha de Sistema;Alta;Médio;Leonardo Veiga
Atendimento;AGROS;Sistema de Empréstimo;Empréstimo - Repactuação;Suporte;Falha de Sistema;Alta;Médio;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Investimento;"Investimentos - Fechamento Renda Fixa ";Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Investimento;Investimentos - Relatórios Gerenciais;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;FUNCASAL;Sistema de Empréstimo;Empréstimo - Movimentação;Suporte;Falha de Sistema;Alta;Fácil;Leonardo Veiga
Atendimento;CIBRIUS;Sistema de Imóveis;Imóveis - Aluguel;Suporte;Falha de Sistema;Alta;Difícil 2;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Empréstimo;Empréstimo - Fechamento;Suporte;Falha de Sistema;Alta;Difícil 1;Leonardo Veiga
Atendimento;FASCEMAR;Sistema Financeiro;Financeiro - Exportação;Suporte;Falha de Sistema;Alta;Médio;Leonardo Veiga
Atendimento;ALEPEPREV;Sistema Financeiro;Financeiro - Banco Conciliado;Suporte;Falha de Sistema;Alta;Médio;Leonardo Veiga
Atendimento;CARFEPE;Sistema de Benefícios;Benefício - Relatórios;Suporte;Falha de Sistema;Média;Difícil 1;Leonardo Veiga
Atendimento;CIBRIUS;Sistema de Investimento;Investimentos - Fundos;Suporte;Falha de Sistema;Alta;Médio;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Investimento;Investimentos - Fundos;Suporte;Falha de Sistema;Alta;Fácil;Leonardo Veiga
Atendimento;AGROS;Sistema de Empréstimo;Empréstimo - Concessão;Suporte;Falha de Sistema;Alta;Fácil;Leonardo Veiga
Atendimento;CAPOF;Sistema Ativo Fixo;Ativo Fixo - Movimentação;Suporte;Falha de Sistema;Alta;Médio;Leonardo Veiga
Atendimento;CAPAF;Sistema de Benefícios;Contábil - Relatórios;Suporte;Falha de Sistema;Média;Difícil 1;Leonardo Veiga
Atendimento;AGROS;Sistema de Empréstimo;Empréstimo - Movimentação;Suporte;Falha de Sistema;Alta;Médio;Leonardo Veiga
Atendimento;FABASA;Sistema de Benefícios;Benefício - Integração com Empréstimo;Suporte;Falha de Operação;Crítica;Difícil 1;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Concessão;Suporte;Falha de Sistema;Crítica;Difícil 1;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Empréstimo;Empréstimo - Relatórios;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;AGROS;Sistema de Empréstimo;Empréstimo - Amortização Extra;Suporte;Falha de Sistema;Alta;Médio;Leonardo Veiga
Atendimento;AGROS;Sistema de Empréstimo;Empréstimo - Integração Seguradora;Suporte;Falha de Sistema;Baixa;Difícil 3;Leonardo Veiga
Atendimento;FABASA;Sistema de Benefícios;Benefício - Fechamento Contábil;Suporte;Falha de Sistema;Crítica;Difícil 2;Leonardo Veiga
Atendimento;FABASA;Sistema de Empréstimo;Empréstimo - Movimentação;Suporte;Falha de Sistema;Alta;Fácil;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Integração com Internet;Suporte;Falha de Sistema;Alta;Médio;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Investimento;Investimentos - Relatórios Gerenciais;Suporte;Falha de Sistema;Alta;Fácil;Leonardo Veiga
Atendimento;ECOS;Sistema Financeiro;Financeiro - Valores a Receber;Suporte;Falha de Sistema;Baixa;Fácil;Leonardo Veiga
Atendimento;ALEPEPREV;Sistema de Benefícios;Benefício - Geração de Cobrança Mensal;Suporte;Falha de Sistema;Alta;Médio;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Empréstimo;Empréstimo - Fechamento;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Investimento;Investimentos - Fundos;Suporte;Falha de Sistema;Crítica;Difícil 2;Leonardo Veiga
Atendimento;FABASA;Sistema de Empréstimo;Empréstimo - Fechamento;Suporte;Falha de Sistema;Alta;Médio;Leonardo Veiga
Atendimento;CAPOF;Sistema Ativo Fixo;Ativo Fixo - Movimentação;Suporte;Falha de Sistema;Alta;Fácil;Leonardo Veiga
Atendimento;FABASA;Sistema Financeiro;Empréstimo - Integração Concessão Banco;Suporte;Falha de Sistema;Crítica;Médio;Leonardo Veiga
Atendimento;FABASA;Sistema de Investimento;Investimentos - Relatórios Gerenciais;Suporte;Falha de Sistema;Alta;Difícil 1;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Concessão;Suporte;Falha de Sistema;Alta;Fácil;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Integração Contábil;Suporte;Falha de Sistema;Média;Fácil;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Empréstimo;Empréstimo - Relatórios;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CIBRIUS;Sistema de Investimento;Investimentos - Renda Variável;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Investimento;Investimentos - Fundos;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Movimentação;Suporte;Falha de Sistema;Alta;Fácil;Leonardo Veiga
Atendimento;FABASA;Sistema de Benefícios;Script;Suporte;Falha de Operação;Crítica;Fácil;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Concessão;Suporte;Falha de Sistema;Alta;Difícil 1;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Concessão;Suporte;Falha de Sistema;Alta;Fácil;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Empréstimo;Empréstimo - Fechamento;Suporte;Falha de Sistema;Crítica;Médio;Leonardo Veiga
Atendimento;CIBRIUS;Sistema de Investimento;"Investimentos - Relatórios Renda Variável ";Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CIBRIUS;Sistema de Benefícios;Benefício - Relatórios;Suporte;Falha de Sistema;Crítica;Difícil 1;Leonardo Veiga
Atendimento;CERES;Sistema Internet;Serviços online;Suporte;Falha de Sistema;Alta;Fácil;Leonardo Veiga
Atendimento;CERES;Sistema Internet;Serviços online;Suporte;Falha de Sistema;Média;Difícil 1;Leonardo Veiga
Atendimento;CERES;Sistema Internet;Serviços online;Suporte;Falha de Sistema;Média;Difícil 1;Leonardo Veiga
Atendimento;CIBRIUS;Sistema de Investimento;Imóveis - Cadastro;Suporte;Falha de Sistema;Alta;Médio;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Concessão;Suporte;Falha de Sistema;Alta;Difícil 3;Leonardo Veiga
Atendimento;CERES;Sistema Internet;Script;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CERES;Sistema de Benefícios;Empréstimo - Relatórios;Suporte;Falha de Sistema;Alta;Difícil 1;Leonardo Veiga
Atendimento;ECOS;Sistema de Investimento;Investimentos - Relatórios Gerenciais;Suporte;Falha de Sistema;Baixa;Difícil 2;Leonardo Veiga
Atendimento;ECOS;Sistema de Investimento;Investimentos - Previsão de Resgate Renda Fixa;Suporte;Falha de Operação;Baixa;Difícil 3;Leonardo Veiga
Atendimento;CARFEPE;Sistema de Benefícios;Benefício - Relatórios;Suporte;Falha de Sistema;Alta;Fácil;Leonardo Veiga
Atendimento;ECOS;Sistema de Investimento;Investimentos - Relatórios Gerenciais;Suporte;Falha de Sistema;Baixa;Difícil 3;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Concessão;Suporte;Falha de Sistema;Alta;Fácil;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Concessão;Suporte;Falha de Sistema;Alta;Difícil 1;Leonardo Veiga
Atendimento;FUNCASAL;Sistema de Empréstimo;Empréstimo - Integração Cobrança Banco;Suporte;Falha de Sistema;Crítica;Difícil 1;Leonardo Veiga
Atendimento;SERGUS;Sistema Ativo Fixo;Script;Suporte;Falha de Sistema;Crítica;Médio;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Investimento;"Investimentos - Fechamento Renda Fixa ";Suporte;Falha de Sistema;Baixa;Médio;Leonardo Veiga
Atendimento;CIBRIUS;Sistema de Investimento;"Investimentos - Relatórios Renda Variável ";Suporte;Falha de Sistema;Alta;Difícil 1;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Concessão;Suporte;Falha de Sistema;Crítica;Difícil 1;Leonardo Veiga
Atendimento;GEIPREV;Sistema de Benefícios;Benefício - Folha de Benefícios;Suporte;Falha de Sistema;Crítica;Difícil 1;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Empréstimo;Empréstimo - Concessão;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CERES;Sistema Internet;Serviços online;Suporte;Falha de Sistema;Crítica;Difícil 1;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Benefícios;Empréstimo - Relatórios;Suporte;Falha de Sistema;Alta;Fácil;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Benefícios;Empréstimo - Movimentação;Suporte;Falha de Sistema;Alta;Fácil;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Integração Cobrança Banco;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;ALEPEPREV;Sistema de Benefícios;Benefício - Geração de Cobrança Mensal;Suporte;Falha de Sistema;Crítica;Difícil 1;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Benefícios;Empréstimo - Relatórios;Suporte;Falha de Sistema;Crítica;Médio;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Integração Cobrança Banco;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CERES;Sistema de Atendimento;Atendimento - Emprestimos;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Benefícios;Empréstimo - Fechamento;Suporte;Falha de Sistema;Crítica;Médio;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Integração com Internet;Suporte;Falha de Sistema;Crítica;Difícil 3;Leonardo Veiga
Atendimento;CERES;Sistema de Benefícios;Benefício - Fechamento da Reserva;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CERES;Sistema de Benefícios;Benefício - Fechamento da Reserva;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CAPAF;Sistema Contábil;Contábil - Relatórios;Suporte;Falha de Sistema;Crítica;Médio;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Integração Cobrança Banco;Suporte;Falha de Sistema;Crítica;Difícil 2;Leonardo Veiga
Atendimento;CERES;Sistema Internet;Serviços online;Suporte;Falha de Sistema;Alta;Médio;Leonardo Veiga
Atendimento;CERES;Sistema Internet;Serviços online;Suporte;Procedimento;Crítica;Difícil 3;Leonardo Veiga
Atendimento;FUNCASAL;Sistema de Empréstimo;Empréstimo - Integração Cobrança Banco;Suporte;Falha de Sistema;Crítica;Difícil 2;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Integração com Benefício;Suporte;Falha de Sistema;Crítica;Médio;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Integração com Benefício;Suporte;Falha de Sistema;Crítica;Difícil 1;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Concessão;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CIBRIUS;Sistema de Investimento;Investimentos - Relatórios Gerenciais;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CIBRIUS;Sistema de Investimento;Investimentos - Relatórios Gerenciais;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CERES;Sistema de Benefícios;Benefício - Geral;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CAPAF;Sistema Contábil;Financeiro - Integração;Suporte;Falha de Sistema;Crítica;Médio;Leonardo Veiga
Atendimento;CAPOF;Sistema Financeiro;Investimentos - Integração;Suporte;Falha de Sistema;Crítica;Médio;Leonardo Veiga
Atendimento;SERGUS;Sistema Contábil;Contábil - Cadastro;Suporte;Falha de Sistema;Alta;Médio;Leonardo Veiga
Atendimento;CAPOF;Sistema de Empréstimo;Empréstimo - Suspensão do Contrato;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Integração Contábil;Suporte;Falha de Sistema;Média;Difícil 1;Leonardo Veiga
Atendimento;SERGUS;Sistema de Empréstimo;Empréstimo - Fechamento;Suporte;Falha de Sistema;Crítica;Difícil 1;Leonardo Veiga
Atendimento;FUNCASAL;Sistema de Empréstimo;Empréstimo - Integração Cobrança Banco;Suporte;Falha de Sistema;Crítica;Difícil 2;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Integração Cobrança Banco;Suporte;Falha de Sistema;Crítica;Difícil 1;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Empréstimo;Empréstimo - Relatórios;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CAPAF;Sistema de Benefícios;Benefício - Relatórios;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CAPAF;Sistema Contábil;Contábil - Movimentação;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CERES;Sistema Internet;Site;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CERES;Sistema de Atendimento;Atendimento - Beneficios;Suporte;Falha de Sistema;Crítica;Difícil 1;Leonardo Veiga
Atendimento;CERES;Sistema de Benefícios;Benefício - Integração com Patrocinadora;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;SERGUS;Sistema de Empréstimo;Empréstimo - Relatórios;Suporte;Falha de Sistema;Crítica;Médio;Leonardo Veiga
Atendimento;CAPOF;Sistema Financeiro;Investimentos - Integração;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Concessão;Suporte;Falha de Sistema;Crítica;Médio;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Empréstimo;Empréstimo - Fechamento;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Investimento;Investimentos - Índices;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Investimento;Investimentos - Integração;Suporte;Falha de Sistema;Crítica;Difícil 1;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Investimento;Investimentos - Integração;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Exclusão de Movimento;Suporte;Falha de Sistema;Crítica;Difícil 1;Leonardo Veiga
Atendimento;CERES;Sistema de Atendimento;Atendimento - Emprestimos;Suporte;Falha de Sistema;Alta;Fácil;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Relatórios;Suporte;Falha de Sistema;Baixa;Fácil;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Empréstimo;Empréstimo - Fechamento;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;SARAHPREV;Sistema Contábil;Contábil - Integração;Suporte;Falha de Sistema;Crítica;Difícil 3;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Benefícios;Benefício - Acesso;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CAPOF;Sistema Financeiro;Investimentos - Fundos;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;SERGUS;Sistema Contábil;Contábil - Exportação Previc;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;SERGUS;Sistema Contábil;Contratos - Integração;Suporte;Falha de Sistema;Crítica;Médio;Leonardo Veiga
Atendimento;CAPAF;Sistema Contábil;Contábil - Exportação Previc;Suporte;Melhorias;Crítica;Difícil 2;Leonardo Veiga
Atendimento;SERGUS;Sistema Contábil;Contábil - Integração;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CAPOF;Sistema de Empréstimo;Empréstimo - Amortização Extra;Suporte;Falha de Sistema;Crítica;Médio;Leonardo Veiga
Atendimento;CAPOF;Sistema de Investimento;Investimentos - Integração;Suporte;Falha de Sistema;Alta;Fácil;Leonardo Veiga
Atendimento;FUNCASAL;Sistema de Empréstimo;Empréstimo - Integração com Benefício;Suporte;Falha de Sistema;Crítica;Difícil 1;Leonardo Veiga
Atendimento;ALEPEPREV;Sistema de Benefícios;Benefício - Parâmetros;Suporte;Falha de Sistema;Alta;Difícil 1;Leonardo Veiga
Atendimento;FUNCASAL;Sistema de Benefícios;Script;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CAPOF;Sistema Financeiro;Investimentos - Relatórios Gerenciais;Suporte;Falha de Sistema;Alta;Difícil 1;Leonardo Veiga
Atendimento;CAPOF;Sistema Financeiro;Investimentos - Relatórios Gerenciais;Suporte;Procedimento;Alta;Fácil;Leonardo Veiga
Atendimento;FUNCASAL;Sistema de Empréstimo;Empréstimo - Integração com Benefício;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Empréstimo;Empréstimo - Integração com Benefício;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CIBRIUS;Sistema Financeiro;Financeiro - Valores a Pagar;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Empréstimo;Empréstimo - Relatórios;Suporte;Falha de Sistema;Crítica;Médio;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Concessão;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Empréstimo;Empréstimo - Concessão;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CAPOF;Sistema Financeiro;"Investimentos - Fechamento Renda Fixa ";Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CAPOF;Sistema de Empréstimo;Empréstimo - Fechamento;Suporte;Procedimento;Crítica;Fácil;Leonardo Veiga
Atendimento;FASCEMAR;Sistema de Investimento;Investimentos - Relatórios Gerenciais;Suporte;Falha de Sistema;Crítica;Médio;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Serviços online;Suporte;Falha de Sistema;Crítica;Difícil 3;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Relatórios;Suporte;Falha de Sistema;Alta;Difícil 1;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Integração Cobrança Banco;Suporte;Falha de Sistema;Crítica;Difícil 1;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Integração com Benefício;Suporte;Falha de Sistema;Alta;Difícil 1;Leonardo Veiga
Atendimento;CERES;Sistema Internet;Site;Suporte;Falha de Sistema;Crítica;Médio;Leonardo Veiga
Atendimento;CAPAF;Sistema de Benefícios;Benefício - Relatórios;Suporte;Falha de Sistema;Alta;Médio;Leonardo Veiga
Atendimento;CAPAF;Sistema Contábil;Contábil - Relatórios;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CERES;Sistema Internet;Empréstimo - Concessão;Suporte;Falha de Sistema;Alta;Fácil;Leonardo Veiga
Atendimento;CAPOF;Sistema Financeiro;Investimentos - Integração;Suporte;Falha de Sistema;Crítica;Fácil;Leonardo Veiga
Atendimento;CERES;Sistema Internet;Site;Suporte;Falha de Sistema;Alta;Fácil;Leonardo Veiga
Atendimento;ECOS;Sistema de Investimento;Investimentos - Relatórios Gerenciais;Suporte;Falha de Sistema;Baixa;Difícil 1;Leonardo Veiga
Atendimento;CIBRIUS;Sistema de Imóveis;Imóveis - Integração Financeiro;Suporte;Falha de Sistema;Média;Médio;Leonardo Veiga
Atendimento;CAPOF;Sistema de Empréstimo;Empréstimo - Relatórios;Suporte;Falha de Sistema;Alta;Fácil;Leonardo Veiga
Atendimento;CAPOF;Sistema de Empréstimo;Empréstimo - Fechamento;Suporte;Falha de Sistema;Alta;Fácil;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Integração Patrocinadora;Suporte;Falha de Sistema;Crítica;Médio;Leonardo Veiga
Atendimento;CAPOF;Sistema de Empréstimo;Empréstimo - Integração Cobrança Banco;Suporte;Falha de Sistema;Média;Médio;Leonardo Veiga
Atendimento;CERES;Sistema Internet;Empréstimo - Concessão;Suporte;Falha de Sistema;Crítica;Difícil 1;Leonardo Veiga
Atendimento;CERES;Sistema Internet;Empréstimo - Concessão;Suporte;Falha de Sistema;Crítica;Difícil 2;Leonardo Veiga
Atendimento;CERES;Sistema de Empréstimo;Empréstimo - Integração Cobrança Banco;Suporte;Falha de Sistema;Crítica;Médio;Leonardo Veiga
